0580,330900
0482,152200
0483,152900
0478,150800
0477,150600
1728,429006
0479,152500
0474,150900
0473,150300
0476,150400
0475,150500
0573,330400
0572,330500
0575,330600
0574,330200
0577,330300
0576,331000
0579,330700
0578,331100
0701,360600
0998,653100
0851,520100
0570,330800
0999,654000
0852,520300
0571,330100
0853,520400
0854,522700
0994,652300
0855,522600
0471,150100
0995,650400
0856,520600
0472,150200
0996,652800
0857,520500
0997,652900
0858,520200
0470,150700
0990,650200
0859,522300
0991,650100
0993,659001
0469,230500
0468,230400
0467,230300
0711,420700
1719,429021
0710,420600
0464,230900
0564,341500
0717,420500
0563,341800
0716,421000
0562,340700
0719,420300
0561,340600
0718,422800
0713,421100
0712,420900
0566,341700
0715,421200
0714,420200
0312,130600
0313,130700
0314,130800
0315,130200
1433,222400
0310,130400
0311,130100
0316,131000
0317,130900
0318,131100
0319,130500
0452,230200
1996,659006
0451,230100
1997,659002
0454,230800
1998,659003
0453,231000
0456,231100
0455,231200
0458,230700
1994,659004
0457,232700
0599,350700
0459,230600
0598,350400
1999,659008
0595,350500
0594,350300
0597,350800
0596,350600
0976,632700
0873,532500
0592,350200
0977,632800
0874,530300
0593,350900
0875,530500
0876,532600
0591,350100
0870,530600
0871,530100
0872,532900
0970,632200
0971,630100
0972,630200
0877,530400
0973,632300
0878,532300
0974,632500
0879,530800
0975,632600
1832,511000
1833,511400
0803,469026
0941,623000
0802,469025
0801,469029
0807,469007
0806,469021
0805,460400
0804,469023
0335,130300
0943,620400
2898,460300
0530,371700
0531,370100
0437,220400
010,110000
0532,370200
0438,220700
0533,370300
0745,431200
0439,220600
0534,371400
0746,431100
0535,370600
0743,433100
0536,370700
0744,430800
0434,220300
0537,370800
0435,220500
0538,370900
0809,469028
0436,220800
0539,371300
0431,220100
0432,220200
0951,640100
0812,510400
0953,640300
0952,640200
0813,510300
0816,510700
0818,511700
0817,511300
022,120000
023,500000
024,210100
025,320100
0954,640400
027,420100
028,510100
029,610100
0756,440400
0523,321200
0757,440600
0429,211400
0758,441200
021,310000
0759,440800
020,440100
0427,211100
0752,441300
0527,321300
0753,441400
0754,440500
0755,440300
0421,211300
0750,440700
0751,440200
0827,511900
0826,511600
0825,510900
0357,141000
0356,140500
0359,140800
0358,141100
0353,140300
0352,140200
0355,140400
0354,140700
0415,210600
0554,340400
0416,210700
0555,340500
0417,210800
0556,340800
0418,210900
0557,341300
0724,420800
0419,211000
0550,341100
0551,340100
0552,340300
0553,340200
0728,429004
0410,211200
0411,210200
0558,341600
0412,210300
0559,341000
0722,421300
0413,210400
0414,210500
0838,510600
0837,513200
0839,510800
0834,513400
0833,511100
0931,620100
0836,513300
0930,622900
0835,511800
0349,140600
0933,620800
0830,510500
0932,621100
0935,620300
0832,512000
0934,621000
0831,511500
0937,620900
0936,620700
0938,620500
0350,140900
0631,371000
0734,430400
0735,431000
0351,140100
0632,370400
0546,370500
0633,371100
0543,371600
0736,430700
0737,430900
0634,371200
0738,431300
0739,430500
0635,371500
0730,430600
0731,430100
0732,430300
0733,430200
0919,610200
1391,419001
0912,610800
0913,610500
0910,610400
0911,610600
0916,610700
0917,610300
0914,611000
0915,610900
0790,360500
0791,360100
1894,469002
0799,360300
1895,460321
0798,360200
1892,469022
0797,360700
1893,469005
0796,360800
1898,469006
0795,360900
1899,469030
0794,361000
1896,469024
0793,361100
1897,469001
0792,360400
1900,900000
0908,653000
1903,659009
0909,652700
1906,659005
1909,659007
0901,654200
0902,652200
0903,653200
0906,654300
0760,442000
0762,441600
0519,320400
0518,320700
0517,320800
0763,441800
0668,440900
0516,320300
0766,445300
0515,320900
0514,321000
0768,445100
0513,320600
0512,320500
0511,321100
0769,441900
0510,320200
0660,441500
0663,445200
0662,441700
0773,450300
0772,450200
0771,450100
0770,450600
0777,450700
0776,451000
0775,450900
0774,450400
1774,451100
1771,451400
0779,450500
1772,451300
0778,451200
1935,620600
1937,620200
0888,530700
0391,410800
0393,410900
0392,410600
0395,411100
0394,411600
0883,530900
0887,533400
0692,533100
0886,533300
0691,532800
1755,450800
2801,460323
0398,411200
0396,411700
2802,469027
1853,820000
1852,810000
0899,460200
0894,540400
0893,542200
1558,341200
0892,540200
0891,540100
0898,460100
0897,542500
0896,542400
0895,540300
2935,621200
1886,710000
1953,640500
2728,429005
0371,410100
0370,411400
0373,410700
1891,460322
0372,410500
0378,410200
0379,410300
0376,411500
0377,411300
0374,411000
0375,410400
